# Example dataset for regression analysis with the regression-analysis-tool plugin.
# This dataset contains independent variables (X1, X2, X3) and a dependent variable (Y).
# Use this dataset as a starting point for running the /run-regression command.
# You can replace this data with your own dataset. Ensure your data is clean and properly formatted.
# Columns should be comma-separated.  The first row should be the header row.
# If you need to include text values, enclose them in double quotes.
# This example contains 10 rows, but your dataset can contain more.

X1,X2,X3,Y
10,20,30,100
15,25,35,120
20,30,40,140
25,35,45,160
30,40,50,180
35,45,55,200
40,50,60,220
45,55,65,240
50,60,70,260
55,65,75,280
#Add your own data below.
#<X1_VALUE>,<X2_VALUE>,<X3_VALUE>,<Y_VALUE>
